session,root,interval,instrument,group,given_answer,correct_answer,difference,bin_difference,ascending
7,58,69,singer,groupB,11,11,0,True,True
7,56,63,singer,groupB,8,7,1,False,True
7,62,55,singer,groupB,-4,-7,3,False,False
7,58,64,singer,groupB,7,6,1,False,True
7,59,67,vocal,groupA,8,8,0,True,True
7,62,54,vocal,groupA,-8,-8,0,True,False
7,66,54,vocal,groupA,-12,-12,0,True,False
7,66,67,vocal,groupA,1,1,0,True,True
7,60,64,vocal,groupA,5,4,1,False,True
7,60,57,vocal,groupA,-2,-3,1,False,False
7,53,56,vocal,groupA,3,3,0,True,True
7,58,56,vocal,groupA,-2,-2,0,True,False
7,54,62,vocal,groupA,5,8,3,False,True
7,54,66,vocal,groupA,12,12,0,True,True
7,69,66,vocal,groupA,-3,-3,0,True,False
7,63,66,vocal,groupA,4,3,1,False,True
7,59,57,vocal,groupA,-2,-2,0,True,False
7,54,66,vocal,groupA,12,12,0,True,True
7,58,60,vocal,groupA,1,2,1,False,True
7,66,66,vocal,groupA,0,0,0,True,False
7,57,59,vocal,groupA,4,2,2,False,True
7,60,64,vocal,groupA,8,4,4,False,True
7,62,57,vocal,groupA,-8,-5,3,False,False
7,58,63,vocal,groupA,7,5,2,False,True
8,52,62,singer,groupB,8,10,2,False,True
8,65,55,singer,groupB,-10,-10,0,True,False
8,64,64,singer,groupB,0,0,0,True,False
8,52,63,singer,groupB,8,11,3,False,True
8,54,61,singer,groupB,7,7,0,True,True
8,61,52,singer,groupB,-4,-9,5,False,False
8,54,65,singer,groupB,9,11,2,False,True
8,58,67,singer,groupB,12,9,3,False,True
8,56,52,singer,groupB,-2,-4,2,False,False
8,61,54,singer,groupB,-7,-7,0,True,False
8,66,55,singer,groupB,-9,-11,2,False,False
8,64,63,singer,groupB,-1,-1,0,True,False
8,63,52,singer,groupB,-4,-11,7,False,False
8,69,59,singer,groupB,-11,-10,1,False,False
8,67,63,singer,groupB,-7,-4,3,False,False
8,63,69,singer,groupB,6,6,0,True,True
8,52,61,singer,groupB,8,9,1,False,True
8,60,67,singer,groupB,7,7,0,True,True
8,60,54,singer,groupB,-4,-6,2,False,False
8,64,55,singer,groupB,-8,-9,1,False,False
8,54,52,vocal,groupA,-2,-2,0,True,False
8,65,53,vocal,groupA,-12,-12,0,True,False
8,53,54,vocal,groupA,-1,1,2,False,True
8,52,56,vocal,groupA,5,4,1,False,True
8,60,63,vocal,groupA,5,3,2,False,True
8,57,55,vocal,groupA,-1,-2,1,False,False
8,68,63,vocal,groupA,-12,-5,7,False,False
8,52,52,vocal,groupA,0,0,0,True,False
8,62,59,vocal,groupA,-3,-3,0,True,False
8,54,66,vocal,groupA,12,12,0,True,True
8,55,57,vocal,groupA,2,2,0,True,True
8,58,66,vocal,groupA,5,8,3,False,True
8,62,59,vocal,groupA,-2,-3,1,False,False
8,65,57,vocal,groupA,-8,-8,0,True,False
8,53,65,vocal,groupA,7,12,5,False,True
8,59,63,vocal,groupA,3,4,1,False,True
8,64,67,vocal,groupA,5,3,2,False,True
8,58,60,vocal,groupA,3,2,1,False,True
8,54,62,vocal,groupA,8,8,0,True,True
8,61,66,vocal,groupA,5,5,0,True,True
9,53,59,singer,groupB,7,6,1,False,True
9,67,57,singer,groupB,-10,-10,0,True,False
9,62,56,singer,groupB,-8,-6,2,False,False
9,52,63,singer,groupB,10,11,1,False,True
9,69,62,singer,groupB,-11,-7,4,False,False
9,60,67,singer,groupB,7,7,0,True,True
9,54,63,singer,groupB,10,9,1,False,True
9,58,68,singer,groupB,8,10,2,False,True
9,68,57,singer,groupB,-11,-11,0,True,False
9,67,56,singer,groupB,-9,-11,2,False,False
9,55,66,singer,groupB,6,11,5,False,True
9,62,52,singer,groupB,-9,-10,1,False,False
9,62,53,singer,groupB,-11,-9,2,False,False
9,61,52,singer,groupB,-10,-9,1,False,False
9,53,62,singer,groupB,6,9,3,False,True
9,60,67,singer,groupB,7,7,0,True,True
9,60,60,singer,groupB,0,0,0,True,False
9,68,64,singer,groupB,-4,-4,0,True,False
9,57,56,singer,groupB,2,-1,3,False,False
9,67,63,singer,groupB,-3,-4,1,False,False
9,61,66,vocal,groupA,7,5,2,False,True
9,69,67,vocal,groupA,-2,-2,0,True,False
9,53,54,vocal,groupA,1,1,0,True,True
9,65,62,vocal,groupA,-5,-3,2,False,False
9,53,65,vocal,groupA,12,12,0,True,True
9,53,61,vocal,groupA,8,8,0,True,True
9,58,60,vocal,groupA,1,2,1,False,True
9,55,67,vocal,groupA,12,12,0,True,True
9,55,63,vocal,groupA,5,8,3,False,True
9,62,64,vocal,groupA,5,2,3,False,True
9,55,58,vocal,groupA,-3,3,6,False,True
9,60,52,vocal,groupA,-12,-8,4,False,False
9,63,58,vocal,groupA,-5,-5,0,True,False
9,60,64,vocal,groupA,8,4,4,False,True
9,66,64,vocal,groupA,-2,-2,0,True,False
9,62,66,vocal,groupA,5,4,1,False,True
9,54,57,vocal,groupA,2,3,1,False,True
9,67,55,vocal,groupA,-12,-12,0,True,False
9,68,65,vocal,groupA,-8,-3,5,False,False
9,57,57,vocal,groupA,0,0,0,True,False
10,60,54,singer,groupB,-3,-6,3,False,False
10,55,64,singer,groupB,7,9,2,False,True
10,61,52,singer,groupB,-11,-9,2,False,False
10,65,54,singer,groupB,-10,-11,1,False,False
10,62,68,singer,groupB,9,6,3,False,True
10,68,58,singer,groupB,-10,-10,0,True,False
10,54,64,singer,groupB,7,10,3,False,True
10,56,67,singer,groupB,11,11,0,True,True
10,62,62,singer,groupB,0,0,0,True,False
10,65,55,singer,groupB,-10,-10,0,True,False
10,62,58,singer,groupB,-3,-4,1,False,False
10,53,64,singer,groupB,8,11,3,False,True
10,68,59,singer,groupB,-9,-9,0,True,False
10,61,54,singer,groupB,6,-7,13,False,False
10,53,60,singer,groupB,4,7,3,False,True
10,60,67,singer,groupB,7,7,0,True,True
10,66,55,singer,groupB,-9,-11,2,False,False
10,54,63,singer,groupB,3,9,6,False,True
10,63,62,singer,groupB,-1,-1,0,True,False
10,57,53,singer,groupB,-11,-4,7,False,False
10,66,54,vocal,groupA,-12,-12,0,True,False
10,54,66,vocal,groupA,8,12,4,False,True
10,66,58,vocal,groupA,-8,-8,0,True,False
10,53,58,vocal,groupA,4,5,1,False,True
10,57,69,vocal,groupA,12,12,0,True,True
10,54,58,vocal,groupA,4,4,0,True,True
10,66,63,vocal,groupA,-1,-3,2,False,False
10,61,61,vocal,groupA,0,0,0,True,False
10,64,66,vocal,groupA,8,2,6,False,True
10,64,67,vocal,groupA,8,3,5,False,True
10,59,62,vocal,groupA,1,3,2,False,True
10,55,57,vocal,groupA,-2,2,4,False,True
10,55,63,vocal,groupA,5,8,3,False,True
10,58,66,vocal,groupA,8,8,0,True,True
10,66,64,vocal,groupA,-3,-2,1,False,False
10,58,53,vocal,groupA,-3,-5,2,False,False
10,68,69,vocal,groupA,1,1,0,True,True
10,58,56,vocal,groupA,2,-2,4,False,False
10,62,59,vocal,groupA,-4,-3,1,False,False
10,53,57,vocal,groupA,-5,4,9,False,True
